beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type,checkin_id,bid,brewery_id,photo_url,global_rating_score,global_weighted_rating_score,tagged_friends,total_toasts,total_comments
"Arrogant Bastard Ale","Arrogant Consortia","Strong Ale - American",7.2,100,"Incredibly complex flavors yet not overwhelming hoppy... Incredible brew",,,,,,,4.25,"2015-01-09 23:59:17",https://untappd.com/c/145351367,https://untappd.com/beer/18099,https://untappd.com/brewery/234399,"United States",Escondido,CA,,,,145351367,18099,234399,,3.72,3.72,,0,0
"Xocoveza (2014)","Stone Brewing","Stout - Milk / Sweet",8.1,50,"Almost perfect balance of chocolate, mocha, and smokey pepper. The roasted flavor is slightly overwhelming but still very enjoyable.",,,,,,,4.5,"2015-01-10 20:14:42",https://untappd.com/c/145675343,https://untappd.com/beer/738632,https://untappd.com/brewery/1204,"United States",Escondido,CA,,,,145675343,738632,1204,https://untappd.s3.amazonaws.com/photo/2015_01_11/de0c56ddf276fa7a3200475a554ffd9e_raw.jpg,4.16,4.16,,0,0
"Polestar Pilsner","Left Hand Brewing Company","Pilsner - Other",5.5,33,,,,,,,,3.5,"2015-01-10 22:34:11",https://untappd.com/c/145772594,https://untappd.com/beer/11468,https://untappd.com/brewery/779,"United States",Longmont,CO,,,,145772594,11468,779,https://untappd.s3.amazonaws.com/photo/2015_01_11/b22fc0f4286483ee5c9379c12867857a_raw.jpg,3.3,3.3,,0,0
"Milk Stout Nitro","Left Hand Brewing Company","Stout - Milk / Sweet",6,25,"One of the best milk stouts I've had... Rich and creamy without being overwhelmingly sweet.",,,,,,,4.5,"2015-01-11 15:21:54",https://untappd.com/c/145930527,https://untappd.com/beer/82680,https://untappd.com/brewery/779,"United States",Longmont,CO,,,,145930527,82680,779,https://untappd.s3.amazonaws.com/photo/2015_01_11/f303e3b8b4a20836f4c1c8f08bfd5881_raw.jpg,3.94,3.94,,0,0
"Newcastle Werewolf","Caledonian Brewing Co.","English Bitter",4.5,0,"Oddly sweet taste with a contrasting bitter aftertaste. Nice malty smell but disappointingly mediocre taste.",,,,,,,2.25,"2015-01-11 23:03:34",https://untappd.com/c/146087506,https://untappd.com/beer/65245,https://untappd.com/brewery/2071,Scotland,Edinburgh,"City of Edinburgh,Midlothian",,,,146087506,65245,2071,https://untappd.s3.amazonaws.com/photo/2015_01_12/9ed144704d6326838c5cb3173dc69dd4_raw.jpg,3.22,3.23,,0,0
"Wexford Irish Style Crème Ale Nitro Draught","Greene King","Cream Ale",5,0,"Rich and creamy. Simple but smooth taste.",,,,,,,3.5,"2015-01-12 20:43:43",https://untappd.com/c/146197909,https://untappd.com/beer/1033,https://untappd.com/brewery/612,England,"Bury St Edmunds",Suffolk,,,,146197909,1033,612,https://untappd.s3.amazonaws.com/photo/2015_01_13/c20a466475fdf84825b1ac1a147597e1_raw.jpg,3.41,3.41,,0,0
"Grätzer Ale (Lips of Faith)","New Belgium Brewing Company","Grätzer / Grodziskie",4.5,0,"Great smokey taste; surprisingly light.","Two Stones Pub",Newark,DE,"United States",39.6619,-75.7266,3.75,"2015-01-13 17:46:06",https://untappd.com/c/146315000,https://untappd.com/beer/634994,https://untappd.com/brewery/905,"United States","Fort Collins",CO,,,,146315000,634994,905,https://untappd.s3.amazonaws.com/photo/2015_01_13/32160aaf94711ff0222af5f7b1b7cd80_raw.jpg,3.42,3.42,,0,0
"Philadelphia Pale Ale","Yards Brewing Co.","Pale Ale - American",4.6,37,"Decent cheap beer.",,,,,,,3,"2015-01-13 18:36:55",https://untappd.com/c/146326155,https://untappd.com/beer/4971,https://untappd.com/brewery/1383,"United States",Philadelphia,PA,,,,146326155,4971,1383,https://untappd.s3.amazonaws.com/photo/2015_01_13/ea05c46a28b9291864bbfb9e860f067b_raw.jpg,3.54,3.54,,0,0
"Dead Rise Old Bay Summer Ale","Flying Dog Brewery","Spiced / Herbed Beer",5.6,25,"Interesting brew; you can definitely taste the Old Bay in the aftertaste. Otherwise an okay light beer.",,,,,,,3.5,"2015-01-13 19:43:04",https://untappd.com/c/146345017,https://untappd.com/beer/623281,https://untappd.com/brewery/540,"United States",Frederick,MD,,,,146345017,623281,540,https://untappd.s3.amazonaws.com/photo/2015_01_14/113286e1ab554b96c65aa3dec04f78b9_raw.jpg,3.45,3.45,,0,0
"Numero Uno Mexican Lager","Flying Dog Brewery","Lager - Pale",4.9,20,"VERY refreshing. Agave/lime not too strong.",,,,,,,3.5,"2015-01-13 20:49:44",https://untappd.com/c/146366755,https://untappd.com/beer/1042671,https://untappd.com/brewery/540,"United States",Frederick,MD,,,,146366755,1042671,540,https://untappd.s3.amazonaws.com/photo/2015_01_14/e7895b361c73279864641f9c6739dd20_raw.jpg,3.46,3.46,,0,0
"Namaste White","Dogfish Head Craft Brewery","Wheat Beer - Witbier",4.8,20,"Pretty good but flavor could've been stronger.","Two Stones Pub",Newark,DE,"United States",39.6619,-75.7266,3.75,"2015-01-13 21:18:57",https://untappd.com/c/146375931,https://untappd.com/beer/6400,https://untappd.com/brewery/459,"United States",Milton,DE,,,,146375931,6400,459,https://untappd.s3.amazonaws.com/photo/2015_01_14/8c749e514df61daabb5042664abca3c6_raw.jpg,3.6,3.6,,0,0
"Lot No. 3 IPA","Evolution Craft Brewing Company","IPA - American",6.8,65,"Decent IPA. Nothing to make it stand out, though.",,,,,,,3,"2015-01-13 21:45:10",https://untappd.com/c/146383738,https://untappd.com/beer/8027,https://untappd.com/brewery/2169,"United States",Salisbury,MD,,,,146383738,8027,2169,https://untappd.s3.amazonaws.com/photo/2015_01_14/9806e1dfda6a9bcafdc356a685dd4e8d_raw.jpg,3.76,3.76,,0,0
"Brooklyn 1/2 Ale","Brooklyn Brewery","Farmhouse Ale - Saison",3.4,37,Disappointing...,,,,,,,1.5,"2015-01-13 23:05:58",https://untappd.com/c/146402761,https://untappd.com/beer/524677,https://untappd.com/brewery/259,"United States",Brooklyn,NY,,,,146402761,524677,259,https://untappd.s3.amazonaws.com/photo/2015_01_14/7dc705a3d71aa55deb7fbdbf5bb9b795_raw.jpg,3.1,3.11,,0,0
"Pearl Necklace Chesapeake Stout","Flying Dog Brewery","Stout - Oyster",5.5,35,,,,,,,,3.75,"2015-01-14 00:30:43",https://untappd.com/c/146414434,https://untappd.com/beer/91303,https://untappd.com/brewery/540,"United States",Frederick,MD,,,,146414434,91303,540,https://untappd.s3.amazonaws.com/photo/2015_01_14/780e2447ea720d7debd0c6d202efbbfe_raw.jpg,3.58,3.58,,0,0
"JavaHead Stout","Tröegs Independent Brewing","Stout - Coffee",7.5,60,"Nice coffee flavor, plain aftertaste",,,,,,,4,"2015-01-15 20:07:23",https://untappd.com/c/146703579,https://untappd.com/beer/35651,https://untappd.com/brewery/2583,"United States",Hershey,PA,,,,146703579,35651,2583,https://untappd.s3.amazonaws.com/photo/2015_01_16/759ceeb90366f093bbc3346ff30a8ece_raw.jpg,3.7,3.7,,0,0
"Smoked Porter w/ Vanilla Bean","Stone Brewing","Smoked Beer",5.9,53,"Incredible smooth porter with a strong vanilla finish.","Two Stones Pub",Newark,DE,"United States",39.6619,-75.7266,4.75,"2015-01-15 22:22:31",https://untappd.com/c/146758537,https://untappd.com/beer/8337,https://untappd.com/brewery/1204,"United States",Escondido,CA,,,,146758537,8337,1204,https://untappd.s3.amazonaws.com/photo/2015_01_16/c3f665e5dbb506dca9ef279399b74cda_raw.jpg,3.81,3.81,,0,0
"Smoked Porter w/ Vanilla Bean","Stone Brewing","Smoked Beer",5.9,53,,,,,,,,4.75,"2015-01-16 00:52:08",https://untappd.com/c/146790236,https://untappd.com/beer/8337,https://untappd.com/brewery/1204,"United States",Escondido,CA,,,,146790236,8337,1204,,3.81,3.81,,1,0
"Kujo Imperial Coffee Stout","Flying Dog Brewery","Stout - Imperial / Double Coffee",8.9,40,"Fucking fantastic. Great coffee taste.",,,,,,,4.25,"2015-01-16 21:10:15",https://untappd.com/c/147026129,https://untappd.com/beer/106751,https://untappd.com/brewery/540,"United States",Frederick,MD,,,,147026129,106751,540,https://untappd.s3.amazonaws.com/photo/2015_01_17/edc9d4be497a1a2de1359f54a2c10c7b_raw.jpg,3.93,3.92,,0,0
"Brown Shugga'","Lagunitas Brewing Company","Strong Ale - American",10,51,"Definitely tastes lighter than 10%",,,,,,,4,"2015-01-16 21:33:19",https://untappd.com/c/147041511,https://untappd.com/beer/4740,https://untappd.com/brewery/765,"United States",Petaluma,CA,,,,147041511,4740,765,https://untappd.s3.amazonaws.com/photo/2015_01_17/7ccca0a744d9d6932e5b988634144f5a_raw.jpg,3.74,3.74,,0,0
"Smoked Porter w/ Vanilla Bean","Stone Brewing","Smoked Beer",5.9,53,Yesss,,,,,,,4.75,"2015-01-16 22:15:24",https://untappd.com/c/147068797,https://untappd.com/beer/8337,https://untappd.com/brewery/1204,"United States",Escondido,CA,,,,147068797,8337,1204,https://untappd.s3.amazonaws.com/photo/2015_01_17/c6b6b0514d463b749fbf16a3a3b974aa_raw.jpg,3.81,3.81,,0,0
"Samuel Adams Cream Stout","Boston Beer Company","Stout - Milk / Sweet",4.9,28,"Pretty good, but nothing to make it stand out.",,,,,,,3,"2015-01-16 23:42:02",https://untappd.com/c/147112261,https://untappd.com/beer/4074,https://untappd.com/brewery/157,"United States",Boston,MA,,,,147112261,4074,157,https://untappd.s3.amazonaws.com/photo/2015_01_17/50ef867a9292ad0cb4cbe75e05cd514c_raw.jpg,3.53,3.53,,0,0
