brewery_name,tried,visited,locations
38-75 Brewing,Yes,11/13/22,Dewey
Argilla Brewing Company,Yes,6/30/22,Newark
Autumn Arch Beer Project,Yes,7/22/21,Newark
Bellefonte Brewing Company ,Yes,4/30/22,Wilmington
Big Oyster Brewery,Yes,10/7/22,Lewes
Blue Earl Brewing Co.,Yes,11/13/22,Smyrna
Brick Works Brewing and Eats,Yes,11/8/22,Smyrna / Long Neck
Crooked Hammock Brewery,Yes,6/20/22,Middletown
Dew Point Brewing Co.,Yes,5/6/22,Hockessin
Dewey Beer Company,Yes,6/5/22,Dewey / Milton
Dogfish Head Craft Brewery,Yes,10/26/21,Milton
First State Brewing Company,Yes,6/18/22,Middletown
Fordham & Dominion Brewing Co.,Yes,11/8/22,Dover
HammerGod Brewing Co.,Yes,7/23/21,New Castle
Hangman Brewing Company,Yes,10/9/22,Claymont
Iron Hill Brewery,Yes,12/6/12,Newark / Wilmington
JAKL Beer Works,Yes,6/18/22,Middletown
Liquid Alchemy Beverages ,Yes,11/3/22,Wilmington
Loakal Branch Brewing,Yes,6/28/22,Delmar
Midnight Oil Brewing Company,Yes,10/17/21,Newark
Mispillion River Brewing Company,Yes,9/17/22,Milford
Rebel Seed Cider,Yes,6/28/22,Marydel
Revelation Craft Brewing Company,Yes,11/13/22,Rehoboth
Stewart's Brewing Company ,Yes,9/28/18,Bear
Stitch House Brewery,Yes,11/18/22,Wilmington
The Brimming Horn Meadery,Yes,6/5/22,Milton
Thompson Island Brewing Company,Yes,11/13/22,Rehoboth
Twisted Irons Craft Brewing Co.,Yes,5/1/22,Newark
Volunteer Brewing Company,Yes,11/20/22,Middletown
Wilmington Brew Works,Yes,6/5/22,Wilmington
1937 Brewing Company,Yes,11/13/22,Wilmington
Ocean View Brewing,Yes,10/5/22,Ocean View
